model,dataStr,costFunction,MSE,MAE,GME,CWE,BMSE,MAPE,MSE_val,MAE_val,GME_val,CWE_val,BMSE_val,MAPE_val,MSE_test,MAE_test,GME_test,CWE_test,BMSE_test,MAPE_test
LinearRegression,synthetic_r=1,MSE,0.007518,0.071972,0.071393,0.071397,6.628042,0.053257,0.009457,0.082882,0.08747,0.087675,5.114568,0.059017,0.010682,0.085838,0.084288,0.084309,5.159005,0.059329
LinearRegression,synthetic_r=1.1,MSE,0.008187,0.075435,0.079729,0.079926,6.63993,0.06141,0.008571,0.078051,0.073887,0.074055,5.100009,0.064704,0.011339,0.089455,0.092857,0.09296,5.166338,0.072755
LinearRegression,synthetic_r=1.2,MSE,0.008183,0.07544,0.083926,0.084725,6.638415,0.07227,0.008377,0.07794,0.081395,0.081518,5.09506,0.074673,0.008346,0.077378,0.087138,0.088177,5.094558,0.073406
LinearRegression,synthetic_r=1.3,MSE,0.008028,0.072862,0.083185,0.084433,6.645986,0.082436,0.008636,0.078348,0.084095,0.084439,5.106588,0.076913,0.007723,0.075298,0.091629,0.094823,5.083755,0.085966
LinearRegression,synthetic_r=1.4,MSE,0.008102,0.073227,0.085567,0.087376,6.648466,0.091747,0.008098,0.075306,0.087574,0.089306,5.10065,0.090861,0.006328,0.064934,0.057365,0.058014,5.074847,0.071187
LinearRegression,synthetic_r=1.5,MSE,0.00685,0.065805,0.078284,0.080374,6.635146,0.093026,0.007738,0.068582,0.086804,0.091352,5.125271,0.103544,0.006314,0.062543,0.071747,0.072907,5.090197,0.09071
LinearRegression,synthetic_r=1.6,MSE,0.007382,0.067106,0.084677,0.088984,6.652399,0.106996,0.006364,0.062848,0.074804,0.076815,5.095685,0.100366,0.005355,0.057468,0.063695,0.064258,5.066781,0.089654
LinearRegression,synthetic_r=1.7,MSE,0.006191,0.060607,0.077758,0.082386,6.633772,0.106832,0.006052,0.058037,0.074515,0.07898,5.111149,0.101913,0.006333,0.059425,0.080531,0.088196,5.111848,0.113499
LinearRegression,synthetic_r=1,MAE,0.007563,0.071812,0.073545,0.073578,6.632046,0.051693,0.00959,0.082875,0.085011,0.085054,5.122425,0.05717,0.010918,0.085923,0.087172,0.087187,5.174381,0.0572
LinearRegression,synthetic_r=1.1,MAE,0.008286,0.07518,0.079613,0.079824,6.647534,0.05955,0.008533,0.076306,0.073278,0.07337,5.110077,0.062401,0.011668,0.089868,0.093169,0.093266,5.179981,0.070645
LinearRegression,synthetic_r=1.2,MAE,0.008297,0.075276,0.088842,0.090986,6.645602,0.075604,0.008489,0.078274,0.087403,0.088296,5.097844,0.079,0.008412,0.076202,0.092354,0.09543,5.105223,0.075853
LinearRegression,synthetic_r=1.3,MAE,0.008458,0.071641,0.092453,0.098257,6.679469,0.088628,0.008714,0.076493,0.094289,0.098071,5.122472,0.083152,0.008367,0.075281,0.10144,0.110662,5.118964,0.095353
LinearRegression,synthetic_r=1.4,MAE,0.00844,0.07227,0.092326,0.097608,6.677382,0.099203,0.008134,0.072916,0.092586,0.097588,5.117774,0.096283,0.006227,0.063193,0.066906,0.067083,5.081231,0.076599
LinearRegression,synthetic_r=1.5,MAE,0.007364,0.064428,0.086179,0.093554,6.677038,0.103825,0.007909,0.065718,0.089251,0.097896,5.163347,0.109809,0.007236,0.063655,0.087123,0.096101,5.135033,0.108434
LinearRegression,synthetic_r=1.6,MAE,0.008042,0.065205,0.091167,0.102257,6.70572,0.119362,0.006322,0.058342,0.0767,0.082372,5.129244,0.104942,0.00539,0.054866,0.069882,0.073769,5.087709,0.098488
LinearRegression,synthetic_r=1.7,MAE,0.006777,0.058546,0.082783,0.093755,6.683268,0.118448,0.006589,0.056253,0.079023,0.088989,5.15927,0.116215,0.007617,0.058069,0.086055,0.102254,5.195426,0.128114
LinearRegression,synthetic_r=1,GME,0.008796,0.078037,0.065896,0.067259,6.647099,0.064559,0.01029,0.085629,0.102163,0.10499,5.122886,0.070123,0.011184,0.090211,0.077424,0.078741,5.140404,0.072809
LinearRegression,synthetic_r=1.1,GME,0.011022,0.084786,0.06063,0.065327,6.722763,0.055501,0.01153,0.086136,0.056142,0.063097,5.200148,0.061368,0.016055,0.103698,0.072926,0.079129,5.307767,0.067957
LinearRegression,synthetic_r=1.2,GME,0.011178,0.087438,0.064298,0.068512,6.704409,0.066177,0.010993,0.085138,0.059263,0.06459,5.170631,0.062666,0.011601,0.091032,0.060998,0.067643,5.15791,0.067228
LinearRegression,synthetic_r=1.3,GME,0.011776,0.090223,0.072013,0.07461,6.715748,0.080148,0.014455,0.101368,0.073585,0.078805,5.23034,0.079677,0.011267,0.088019,0.068653,0.07164,5.162407,0.076387
LinearRegression,synthetic_r=1.4,GME,0.014931,0.099521,0.07316,0.077964,6.820761,0.087454,0.015513,0.106452,0.077372,0.082819,5.235191,0.092521,0.012387,0.091781,0.066167,0.071057,5.20106,0.083924
LinearRegression,synthetic_r=1.5,GME,0.010107,0.083153,0.068823,0.070591,6.681975,0.089208,0.01063,0.086918,0.079133,0.079652,5.128377,0.100191,0.008727,0.075065,0.054916,0.058632,5.118569,0.081244
LinearRegression,synthetic_r=1.6,GME,0.009124,0.078284,0.078903,0.078907,6.662731,0.100354,0.009015,0.080948,0.082814,0.082848,5.101885,0.113596,0.00794,0.072465,0.072161,0.072162,5.100062,0.101204
LinearRegression,synthetic_r=1.7,GME,0.007388,0.069478,0.073212,0.073374,6.634208,0.102812,0.007729,0.072375,0.080886,0.081726,5.099159,0.110621,0.00711,0.06814,0.077001,0.077976,5.086582,0.108736
LinearRegression,synthetic_r=1,CWE,0.008354,0.076366,0.066029,0.067048,6.637655,0.061817,0.009904,0.084563,0.099143,0.101336,5.113922,0.06773,0.010799,0.08871,0.077988,0.078939,5.133105,0.069719
LinearRegression,synthetic_r=1.1,CWE,0.009888,0.080892,0.061066,0.064437,6.692173,0.055513,0.010651,0.082892,0.054649,0.061075,5.173601,0.061304,0.014636,0.099664,0.074713,0.079037,5.265734,0.068718
LinearRegression,synthetic_r=1.2,CWE,0.009874,0.082205,0.065062,0.067581,6.674644,0.065821,0.009787,0.08147,0.059433,0.063525,5.139587,0.063971,0.010285,0.085678,0.062511,0.066812,5.130035,0.067344
LinearRegression,synthetic_r=1.3,CWE,0.010068,0.083778,0.072503,0.073609,6.675802,0.078117,0.012228,0.092828,0.071791,0.075125,5.180403,0.075289,0.009522,0.081277,0.069894,0.071053,5.120422,0.07406
LinearRegression,synthetic_r=1.4,CWE,0.011068,0.08715,0.074492,0.075825,6.703346,0.085425,0.011566,0.091963,0.07754,0.079172,5.147643,0.086916,0.009544,0.080802,0.059329,0.063254,5.126195,0.078111
LinearRegression,synthetic_r=1.5,CWE,0.009037,0.078679,0.069537,0.070318,6.656829,0.087842,0.009699,0.082827,0.080551,0.080599,5.113789,0.099968,0.007824,0.070886,0.053294,0.056319,5.100543,0.079322
LinearRegression,synthetic_r=1.6,CWE,0.009124,0.07829,0.078903,0.078907,6.662673,0.100432,0.009018,0.08095,0.082807,0.082841,5.101962,0.113664,0.007944,0.072477,0.072165,0.072166,5.10017,0.101268
LinearRegression,synthetic_r=1.7,CWE,0.007945,0.072585,0.073219,0.073224,6.642542,0.103877,0.008351,0.076315,0.083126,0.083627,5.10179,0.114111,0.007549,0.070706,0.076443,0.076825,5.090419,0.108479
LinearRegression,synthetic_r=1,BMSE,0.007609,0.072715,0.068583,0.068761,6.626597,0.055606,0.009416,0.083202,0.090773,0.091341,5.108389,0.061705,0.010503,0.086112,0.081317,0.081519,5.143018,0.062285
LinearRegression,synthetic_r=1.1,BMSE,0.008319,0.076297,0.080728,0.080936,6.637721,0.063866,0.008842,0.081019,0.075825,0.076076,5.094457,0.067719,0.011205,0.089379,0.093277,0.093413,5.158534,0.075252
LinearRegression,synthetic_r=1.2,BMSE,0.008259,0.076044,0.082738,0.083224,6.637021,0.071603,0.008492,0.078209,0.080133,0.080171,5.097035,0.073481,0.008403,0.078655,0.085856,0.0864,5.089612,0.073415
LinearRegression,synthetic_r=1.3,BMSE,0.008339,0.076175,0.080134,0.0803,6.639049,0.082554,0.009152,0.082914,0.081473,0.081492,5.105042,0.079063,0.008139,0.078573,0.087635,0.088511,5.078429,0.083479
LinearRegression,synthetic_r=1.4,BMSE,0.008424,0.076262,0.081202,0.081462,6.641629,0.090315,0.008598,0.077954,0.082776,0.083017,5.104092,0.089424,0.007255,0.070102,0.053514,0.056246,5.084568,0.073261
LinearRegression,synthetic_r=1.5,BMSE,0.007359,0.070806,0.07414,0.074266,6.624642,0.091556,0.008429,0.075024,0.08717,0.088871,5.114356,0.106331,0.006738,0.065869,0.061618,0.061825,5.084619,0.085347
LinearRegression,synthetic_r=1.6,BMSE,0.007861,0.071724,0.081498,0.082631,6.642889,0.10466,0.00744,0.070845,0.077135,0.077596,5.093484,0.107705,0.00649,0.064348,0.06593,0.065961,5.079494,0.095086
LinearRegression,synthetic_r=1.7,BMSE,0.006682,0.065389,0.075682,0.07708,6.623206,0.104715,0.006627,0.065101,0.077029,0.078951,5.092306,0.104915,0.006388,0.06402,0.078893,0.082048,5.080505,0.108972
LinearRegression,synthetic_r=1,RR,0.007518,0.071973,0.071388,0.071391,6.628039,0.053256,0.009457,0.082882,0.087464,0.087669,5.114555,0.059017,0.010682,0.085836,0.08428,0.084301,5.158979,0.059328
LinearRegression,synthetic_r=1.1,RR,0.008187,0.075434,0.079737,0.079935,6.639936,0.061413,0.008571,0.078047,0.073896,0.074064,5.10002,0.064706,0.011339,0.089453,0.092864,0.092968,5.166344,0.072755
LinearRegression,synthetic_r=1.2,RR,0.008183,0.075439,0.083939,0.084741,6.638425,0.07228,0.008377,0.07794,0.08141,0.081534,5.095058,0.074685,0.008346,0.077374,0.087152,0.088196,5.094576,0.073413
LinearRegression,synthetic_r=1.3,RR,0.008028,0.072864,0.083191,0.08444,6.645969,0.082445,0.008635,0.078352,0.084102,0.084446,5.106542,0.076927,0.007724,0.075307,0.09164,0.094835,5.083739,0.085977
LinearRegression,synthetic_r=1.4,RR,0.008102,0.073225,0.085575,0.087386,6.648483,0.091754,0.008097,0.075303,0.08758,0.089314,5.100658,0.090867,0.006328,0.06493,0.057373,0.05802,5.074847,0.071189
LinearRegression,synthetic_r=1.5,RR,0.00685,0.065807,0.07828,0.080368,6.635131,0.093021,0.007738,0.068584,0.086802,0.091346,5.125249,0.103541,0.006314,0.062545,0.07174,0.072898,5.090179,0.090704
LinearRegression,synthetic_r=1.6,RR,0.007382,0.067104,0.08468,0.088989,6.652419,0.106998,0.006364,0.062843,0.074803,0.076815,5.09569,0.100361,0.005354,0.057463,0.063695,0.064259,5.066773,0.08965
LinearRegression,synthetic_r=1.7,RR,0.006191,0.060606,0.07776,0.082389,6.63378,0.106831,0.006052,0.058034,0.074513,0.078978,5.111148,0.101908,0.006332,0.059421,0.080529,0.088198,5.111852,0.113495
LinearRegression,synthetic_r=1,SERA,0.008799,0.07741,0.070444,0.070911,6.654425,0.054861,0.010495,0.085939,0.075683,0.076581,5.139769,0.05997,0.011257,0.087183,0.082304,0.082511,5.166266,0.058231
LinearRegression,synthetic_r=1.1,SERA,0.011152,0.08697,0.070607,0.072796,6.703441,0.065062,0.011622,0.092743,0.062951,0.06939,5.134958,0.068441,0.014024,0.098634,0.082057,0.084056,5.221095,0.076692
LinearRegression,synthetic_r=1.2,SERA,0.010481,0.085388,0.070612,0.072443,6.680673,0.071607,0.010562,0.084334,0.068753,0.070803,5.152524,0.069046,0.010536,0.08797,0.072032,0.074092,5.124083,0.073561
LinearRegression,synthetic_r=1.3,SERA,0.00983,0.082974,0.073308,0.074136,6.668611,0.078883,0.011811,0.092197,0.073782,0.076384,5.164822,0.076801,0.009449,0.082211,0.074703,0.075213,5.11256,0.076336
LinearRegression,synthetic_r=1.4,SERA,0.009984,0.082949,0.075888,0.076337,6.677141,0.083261,0.01049,0.087369,0.078352,0.079041,5.127914,0.083255,0.008437,0.076092,0.058659,0.061449,5.104056,0.07414
LinearRegression,synthetic_r=1.5,SERA,0.009333,0.079429,0.072115,0.072616,6.672623,0.079071,0.010232,0.084984,0.087546,0.087608,5.127914,0.096729,0.007429,0.070843,0.059395,0.060726,5.089701,0.074825
LinearRegression,synthetic_r=1.6,SERA,0.009768,0.08054,0.080172,0.080173,6.685494,0.092042,0.009378,0.082044,0.083766,0.083794,5.10939,0.105695,0.008112,0.074634,0.0729,0.072931,5.103076,0.095209
LinearRegression,synthetic_r=1.7,SERA,0.008367,0.07429,0.074998,0.075003,6.655376,0.094556,0.008446,0.076749,0.083702,0.084221,5.100116,0.104732,0.007223,0.070187,0.075767,0.076131,5.083323,0.099294
LinearRegression,synthetic_r=1,KRR,0.002183,0.037371,0.037158,0.037159,6.561242,0.027533,0.002362,0.039595,0.038901,0.038911,5.019463,0.030377,0.002172,0.037008,0.033379,0.033643,5.021691,0.027916
